Statistics,D1,Nidhi Sharma,4.9
Statistics,D1,Nimisha Khanna,4.3
Statistics,D1,Palak Malhotra,3.7
Statistics,D2,Piyush Saxena,3.7
Statistics,D2,Prabhat Verma,4.3
Statistics,C1,Pranati Kapoor,4.4
Statistics,C1,Pratik Shah,3.6
Statistics,C1,Preeti Nair,4.5
Statistics,C2,Priya Sharma,4.4
Statistics,C2,Raghav Khurana,3.6
Statistics,C2,Rahul Gupta,4.5
Statistics,E1,Rakesh Sharma,3.5
Statistics,E1,Ram Kapoor,4.6
Statistics,E1,Ranbir Patel,3.4
Statistics,E2,Rashi Verma,3.5
Statistics,E2,Reena Singh,3.4
Course,Slot,Ria Shah,Rating
Differential Equations,F2,Rishabh Malhotra,4.2
Differential Equations,G2,Ritika Choudhary,3.9
Differential Equations,G1,Rohit Agarwal,4.1
Differential Equations,F1,Roshni Nair,3.8
Differential Equations,F2,Rubina Saxena,4
OOPS,F2,Sachin Verma,4.4
OOPS,G1,Sahil Khanna,3.6
OOPS,G2,Samaira Bhatia,4.5
OOPS,F1,Sameer Shah,3.5
OOPS,G1,Samyukta Kapoor,4.6
Algorithms,G2,Sanjana Verma,4.2
Algorithms,F1,Sara Patel,3.9
Algorithms,G2,Sarthak Gupta,3.8
Algorithms,G1,Shalini Rao,4.1
Algorithms,F2,Shivangi Sharma,4.9
Physics,F2,Shreya Verma,4.4
Physics,F1,Shubham Khurana,3.6
Physics,G1,Simran Malhotra,4.5
Physics,F2,Sonal Shahi,3.5
Physics,G2,Suraj Mehta,4.6
Calculus,F1,Swati Singhania,4.2
Calculus,G1,Tanisha Verma,3.9
Calculus,F2,Tarun Kapoor,4.1
Calculus,G1,Tina Patel,3.8
Calculus,G2,Trisha Sharma,4.9
Chemistry,F2,Ujjwal Nair,4.4
Chemistry,G1,Utkarsh Gupta,3.6
Chemistry,F1,Vaishnavi Shah,4.5
Chemistry,G2,Varun Verma,3.5
Course,Slot,Vicky Kapoor,Rating
Differential Equations,B1,Vidushi Nair,4.2
Differential Equations,B1,Vikrant Sharma,3.9
Differential Equations,B2,Vinay Khanna,4.1
Differential Equations,B2,Vishakha Patel,3.8
Differential Equations,B2,Yashvardhan Singh,4
OOPS,B1,Zeenat Gupta,4.4
OOPS,B1,Zara Kapoor,3.6
OOPS,B2,Aadi Sharma,4.5
OOPS,B2,Aahana Verma,4.3
OOPS,B1,Aditi Bhatia,3.9
Algorithms,B1,Aishani Gupta,4.2
Algorithms,B2,Akanksha Shahi,3.9
Algorithms,B1,Akash Singh,3.8
Algorithms,B1,Akshita Kapoor,4.1
Algorithms,B2,Amrita Patel,4.9
Physics,B2,Anahita Khurana,4.4
Physics,B1,Aniket Saxena,3.6
Physics,B1,Anisha Verma,4.5
Physics,B2,Anjana Nair,3.5
Physics,B2,Ankit Sharma,4.6
Calculus,B1,Anushka Patel,4.2
Calculus,B1,Aparna Choudhary,3.9
Calculus,B2,Aria Malhotra,4.1
Calculus,B2,Arnav Kapoor,3.8
Calculus,B1,Arushi Sharma,4.9
Chemistry,B2,Ashish Verma,4.4
Chemistry,B1,Avantika Gupta,3.6
Chemistry,B1,Ayush Khanna,4.5
Chemistry,B2,Bhavya Rana,3.5
Chemistry,B2,Bhupendra Shah,4.6
Statistics,B2,Chahat Sharma,4.2
Statistics,B1,Daksha Nair,3.9
Statistics,B1,Devanshi Patel,4.1
Statistics,B2,Devika Verma,3.8
Statistics,B2,Disha Singhania,4.3
Chemistry,G2,Divyanshi Bhatia,4.6
Statistics,G2,Eesha Khurana,4.2
Statistics,F1,Eshaan Malhotra,3.9
Statistics,G1,Faraaz Kapoor,4.1
Statistics,F2,Gargi Saxena,3.8
Statistics,F2,Gautam Khanna,4.3
